GeneSymbol	Status
C2orf91	UP
SIX2	UP
CRIPT	UP
TSPYL6	UP
LOC101927438	UP
ACTR2	UP
FBXO48	UP
APLF	UP
SNORA36C	UP
GMCL1	UP
TIA1	UP
MCEE	UP
FBXO41	UP
NAT8	UP
DCTN1-AS1	UP
MRPL19	UP
C2orf68	UP
SNORD94	UP
PTCD3	UP
MRPL35	UP
ANKRD36BP2	UP
ZNF2	UP
NCAPH	UP
MGAT4A	UP
LYG2	UP
TXNDC9	UP
CNOT11	UP
SNORD89	UP
IL18RAP	UP
UTAT33	UP
FLJ42351	UP
IL36RN	UP
SLC35F5	UP
LOC101060091	UP
SCTR	UP
TMEM177	UP
RNU4ATAC	UP
TSN	UP
SFT2D3	UP
UGGT1	UP
MAP3K19	UP
MCM6	UP
LOC100507600	UP
ZEB2-AS1	UP
ERMN	UP
TTC21B-AS1	UP
DHRS9	UP
DCAF17	UP
TTC30A	UP
TTC30B	UP
LOC101927027	UP
OSGEPL1	UP
ANKRD44-IT1	UP
MOB4	UP
SGOL2	UP
NIF3L1	UP
CASP10	UP
NDUFS1	UP
IDH1	UP
RPE	UP
LINC01614	UP
SLC11A1	UP
SLC16A14	UP
SP140	UP
HTR2B	UP
CHRNG	UP
KCNJ13	UP
SCARNA5	UP
SCARNA6	UP
PASK	UP
VPS8	UP
EDEM1	UP
CCDC66	UP
DOCK3	UP
MIR548G	UP
BTLA	UP
LOC339874	UP
KCNMB2-AS1	UP
CCDC39	UP
FANCD2	UP
LHFPL4	UP
NUP210	UP
METTL6	UP
SNORA62	UP
ZNF35	UP
KIF15	UP
CCR2	UP
CACNA1D	UP
C3orf67-AS1	UP
C3orf49	UP
CPOX	UP
COL8A1	UP
CEP97	UP
DZIP3	UP
CD96	UP
KIAA2018	UP
ATP6V1A	UP
CD80	UP
GSK3B	UP
POLQ	UP
STXBP5L	UP
DIRC2	UP
SEC22A	UP
DNAJC13	UP
NCK1-AS1	UP
DBR1	UP
ATR	UP
HLTF	UP
ARHGEF26-AS1	UP
LEKR1	UP
ECT2	UP
TBL1XR1	UP
OPA1	UP
SRGAP3-AS3	UP
LOC101927416	UP
GHRL	UP
CAPN7	UP
OXNAD1	UP
SGOL1	UP
LOC101927854	UP
EOMES	UP
CCR4	UP
TMPPE	UP
EPM2AIP1	UP
SLC22A13	UP
CCR8	UP
SNORA6	UP
LOC101928323	UP
ZNF852	UP
ZNF197	UP
ZKSCAN7	UP
ZNF660	UP
ZNF501	UP
LIMD1	UP
CCR9	UP
CCR1	UP
CCR5	UP
CDC25A	UP
NME6	UP
SNORA94	UP
GLYCTK	UP
GLYCTK-AS1	UP
STAB1	UP
RFT1	UP
ACTR8	UP
ARHGEF3-AS1	UP
ASB14	UP
THOC7-AS1	UP
PRICKLE2-AS3	UP
MAGI1-AS1	UP
UBA3	UP
FOXP1-AS1	UP
LOC101927296	UP
ZNF717	UP
C3orf38	UP
NSUN3	UP
IMPG2	UP
ZBED2	UP
ABHD10	UP
CD200R1	UP
TIGIT	UP
ZBTB20-AS1	UP
LOC101929754	UP
ZBTB20-AS4	UP
GTF2E1	UP
EAF2	UP
CD86	UP
WDR5B	UP
PARP9	UP
PARP15	UP
LOC100129550	UP
UMPS	UP
CCDC37	UP
MBD4	UP
SNORA7B	UP
ASTE1	UP
SNORA58	UP
TMEM108-AS1	UP
TOPBP1	UP
CLDN18	UP
RBP2	UP
SLC9A9-AS1	UP
HPS3	UP
ERICH6	UP
LOC101928105	UP
GPR171	UP
P2RY13	UP
SUCNR1	UP
PA2G4P4	UP
MFSD1	UP
TRIM59	UP
SCARNA7	UP
TERC	UP
MIR569	UP
LINC01208	UP
TTC14	UP
KLHL6-AS1	UP
ABCC5-AS1	UP
SNORD66	UP
IGF2BP2-AS1	UP
SNORA63	UP
SNORD2	UP
SNORA4	UP
FLJ42393	UP
LPP-AS1	UP
UTS2B	UP
OPA1-AS1	UP
LOC647323	UP
FBXO45	UP
DLG1-AS1	UP
CCSER1	UP
POLN	UP
HTT	UP
KCNIP4	UP
NCAPG	UP
USP46	UP
GPRIN3	UP
LOC101928978	UP
TMEM155	UP
MARCH1	UP
NEIL3	UP
PRIMPOL	UP
ZNF718	UP
JAKMIP1	UP
TBC1D14	UP
DTHD1	UP
ATP8A1	UP
GUF1	UP
TXK	UP
FRYL	UP
PLAC8	UP
WDFY3	UP
SMARCAD1	UP
CENPE	UP
TET2-AS1	UP
TBCK	UP
ELOVL6	UP
ZGRF1	UP
NDST3	UP
IL21-AS1	UP
SPATA5	UP
MFSD8	UP
SCLT1	UP
SCOC	UP
LRBA	UP
GK3P	UP
DDX60L	UP
DDX60	UP
GALNT7	UP
CEP44	UP
ACSL1	UP
FAT1	UP
ZNF141	UP
SCARNA22	UP
STX18-IT1	UP
PSAPL1	UP
CD38	UP
SLIT2-IT1	UP
KCNIP4-IT1	UP
SEPSECS	UP
PI4K2B	UP
TLR1	UP
TLR6	UP
COMMD8	UP
SNORA26	UP
MIR4449	UP
USP46-AS1	UP
AASDH	UP
CENPC	UP
STAP1	UP
GNRHR	UP
TMPRSS11D	UP
SULT1B1	UP
ENAM	UP
DCK	UP
THAP6	UP
SDAD1	UP
MRPL1	UP
LINC01094	UP
THAP9	UP
HPSE	UP
HELQ	UP
MIR4451	UP
IBSP	UP
MIR1255A	UP
LOC101929529	UP
SNORA24	UP
LOC645513	UP
MAD2L1	UP
CCNA2	UP
PLK4	UP
ELMOD2	UP
MIR3139	UP
SMARCA5-AS1	UP
MMAA	UP
MAB21L2	UP
TMEM154	UP
LOC340017	UP
CBR4	UP
TRAPPC11	UP
LOC102723766	UP
CENPU	UP
SLED1	UP
OTULIN	UP
DROSHA	UP
