	TNBC1	TNBC2	TNBC3	TNBC4	TNBC5	TNBC6	NonTNBC1	NonTNBC2	NonTNBC3	NonTNBC4	NonTNBC5	NonTNBC6	HER2_1	HER2_2	HER2_3	HER2_4	HER2_5	NBS1	NBS2	NBS3
ERMN	29.9303360822819	68.2570446941812	69.8687241375478	137.11925112467	80.1079709119585	45.4903660310538	24.8062290726283	18.4610912978679	9.06664496773203	30.5293443258642	7.54762100397607	8.39376286304329	79.7199934173816	26.3085298832252	71.8392241096775	42.8988238882562	19.5972151377235	4.04181192937354	3.78121965845018	1
DAPL1	1.90407300257131	1	9.17086557564126	1	1	4.60732697549085	1.54105066074155	2.94012125531865	1.89629388530356	34.4665902359795	2.63690525099402	3.46458762101443	4.63323046541761	4.61550426903218	1	16.3629020923606	5.13271447504968	30.9111506388398	35.7652457306272	11.7932476452339
CD302	2.80814600514262	1	1	4.31998173474805	3.26022774034167	1	1.54105066074155	1	1.89629388530356	14.7803606854033	3.45535787649103	4.69688143152165	4.63323046541761	1.90387606725804	1	3.79325492588375	3.06635723752484	17.7299656115545	22.322684048118	13.9518971742806
LOC101929570	9.13665702314177	1	10.3381320864472	3.2133211564987	3.26022774034167	5.80976930065447	3.16420264296621	1.97006062765933	1	4.93724591011523	2.63690525099402	3.46458762101443	2.21107682180587	1	1	1	5.13271447504968	1	1	1
TTC21B-AS1	11.8488760308557	4.73650248301007	2.16726651080589	3.2133211564987	3.26022774034167	11.8219809264726	3.70525330370776	16.5209700425492	7.27405719712491	7.89018034270165	6.72916837847906	5.92917524202886	21.5883059706998	31.7317862867735	19.5807800943416	13.5696471664769	3.06635723752484	1.50696865489559	1.4635366097417	1.43172990580935
XIRP2-AS1	2.80814600514262	4.73650248301007	6.83633255402947	2.10666057824935	2.13011387017084	4.60732697549085	2.0821013214831	1.97006062765933	1.89629388530356	1	1.81845262549701	3.46458762101443	1	1	1	1	1	1	1	1
NOSTRIN	49.8199421388506	27.1555173810705	156.246445937184	47.4797442864727	60.8960351190543	38.2757120800721	395.425931680591	129.048002851031	180.258777060712	216.564213578809	301.372113557402	77.4022162514474	96.6750689226638	79.6372178514498	79.9683154009519	147.645883608897	220.033867177633	184.522653072204	140.988056141992	206.071705259443
BBS5	32.6425550899958	60.7840397281611	75.7050566915773	57.4396894907168	77.8477431716168	43.0854813807266	130.852158577972	118.377335946778	106.76267846582	87.6194100225351	121.31253594806	152.572138692388	54.2873801594583	76.9255896496757	68.3553278419884	97.3672949429893	52.658930938121	157.146345707842	99.2697612652396	113.249775510432
LOC101929753	3.71221900771392	4.73650248301007	24.3453302161179	2.10666057824935	3.26022774034167	4.60732697549085	2.0821013214831	1	3.68888165591068	1.98431147752881	1.81845262549701	2.23229381050722	3.42215364361174	1	2.16129875589635	1	3.06635723752484	1	1	1
DCAF17	299.344090848532	326.075716021876	311.492891874368	263.278557045096	272.227328841001	353.31560127294	515.539178365216	243.515156914831	305.73992100321	252.983738247375	378.306660354121	582.642678559406	422.454733988443	420.398495207732	394.680278248863	396.24557201255	271.692798115754	143.458192025661	146.086958849151	159.876605337842
CYBRD1	935.811484658732	1319.98537650255	2637.85504791052	1685.33740009551	2019.38337212511	1217.87163306558	6356.18106107027	1809.19300995698	1850.05428538124	5766.11232388623	12089.5452785908	4450.81294974156	2104.6404394768	430.341131947571	948.619784811423	2424.14864820415	2714.12705287011	3268.91994945698	3241.12090209446	5347.11142363724
DLX2	3.71221900771392	1	1	5.4266423129974	1	1	6.95155726815707	5.85030313829663	4.58517554121424	25.6077869382202	1.81845262549701	9.62605667355051	2.21107682180587	6.42325640354827	7.96779253537811	1	1	29.8972133290487	9.34365897535053	11.7932476452339
DLX2-AS1	5.52036501285654	4.73650248301007	8.00359906483537	5.4266423129974	1	4.60732697549085	4.24630396444931	2.94012125531865	1	2.96862295505762	5.09226312748504	3.46458762101443	2.21107682180587	1.90387606725804	1	1	1	1	1	1
CDCA7	597.688181697063	213.980641531574	114.224851548172	309.758301331569	255.275620788438	739.299587650461	28.5935836978192	42.712606989351	43.1258126092673	12.8117377303457	43.5595365258445	28.1104638311587	88.1975311700227	1242.92571641255	292.485987729984	273.342355273665	25.7962868502981	58.7944266580973	94.1708585580809	35.5383924647484
SCRN3	168.253505475692	397.069263199067	234.453302161179	195.772261771886	191.989244058871	253.51288828436	586.416814922359	357.982310978632	324.562092594585	170.301574134955	305.464376684887	240.0649992384	281.969822658962	189.910098056931	161.259228313697	144.852628683013	203.503009277434	97.8310130850578	113.639396167232	105.478637205864
CHRNA1	32.6425550899958	8.47300496602014	47.6906604322358	26.453193299735	10.0409109613667	14.2268655767998	21.559925108179	21.3712731808458	11.7555266236427	36.4352131910371	8.36607362947308	7.16146905253608	13.1107682180587	2.80775213451609	13.7742863148599	21.9494119441281	9.26542895009935	3.53484327447795	5.17182948767527	3.15864952904677
MIR933	8.23258402057046	4.73650248301007	4.50179953241768	2.10666057824935	3.26022774034167	1	2.62315198222466	2.94012125531865	1.89629388530356	6.90586886517285	1	1	2.21107682180587	1	2.16129875589635	2.39662746294187	1	1	1	1
HOXD9	24.505898066854	38.3650248301007	18.5089976620884	29.7731750344831	60.8960351190543	17.8341925522906	10.1978612326064	58.2335770319002	54.7776331182135	69.9018034270165	41.1041786493534	10.8583504840577	26.4326132579233	4.61550426903218	35.8389626768906	21.9494119441281	36.1280730379223	131.290944308167	130.790250727675	153.832386656511
HOXD1	5.52036501285654	4.73650248301007	4.50179953241768	5.4266423129974	47.3346686770043	7.01221162581808	2.62315198222466	5.85030313829663	8.17035108242847	7.89018034270165	5.09226312748504	3.46458762101443	4.63323046541761	1	3.3225975117927	14.9662746294187	3.06635723752484	65.8919878266356	32.984026072177	78.2796531398744
HOXD10	7.32851101799916	8.47300496602014	6.83633255402947	4.31998173474805	6.65056935085418	4.60732697549085	2.0821013214831	10.7006062765933	12.6518205089463	12.8117377303457	4.27381050198803	9.62605667355051	33.6990741887585	1.90387606725804	14.9355850707562	10.7763922405931	11.3317861876242	73.4965176500694	86.7542728022138	151.242007221655
