GeneSymbol Status
FAM163A UP
TEDDM1 UP
RNASEL UP
RGS8 UP
NPL UP
NCF2 UP
APOBEC4 UP
ARPC5 UP
TRMT1L UP
UCHL5 UP
B3GALT2 UP
LHX9 UP
ASCL5 UP
TNNI1 UP
MIR5191 UP
PTPRVP UP
PTPN7 UP
LOC100506747 UP
OPTC UP
LAX1 UP
LINC00303 UP
LOC101929441 UP
CNTN2 UP
LEMD1-AS1 UP
BLACAT1 UP
NUCKS1 UP
SLC26A9 UP
PM20D1 UP
AVPR1B UP
C1orf186 UP
CTSE UP
IL19 UP
FCAMR UP
LOC148696 UP
TRAF3IP3 UP
SERTAD4 UP
DTL UP
NSL1 UP
ANGEL2 UP
SMYD2 UP
LYPLAL1 UP
SLC30A10 UP
BPNT1 UP
MIR215 UP
LOC101929771 UP
TAF1A UP
TLR5 UP
NVL UP
ITPKB-IT1 UP
PSEN2 UP
PRSS38 UP
TRIM17 UP
HIST3H2BB UP
ACTA1 UP
ABCB10 UP
ARV1 UP
C1orf131 UP
TSNAX UP
SNRPD2P2 UP
DISC2 UP
DISC1-IT1 UP
MAP10 UP
COA6 UP
LOC101927787 UP
LINC00184 UP
SNORA14B UP
ZP4 UP
CHRM3-AS2 UP
CHML UP
EXO1 UP
BECN2 UP
ZNF695 UP
OR2C3 UP
OR2L3 UP
OR2T4 UP
OR2T29 UP
SH3BP5L UP
MIR3124 UP
LINC00299 UP
XIRP2 UP
TRPM8 UP
MYT1L UP
LOC100506457 UP
NAGK UP
GALNT13 UP
ABCB11 UP
AGPS UP
ZNF804A UP
IKZF2 UP
LINC01250 UP
LOC101929452 UP
APOB UP
EFR3B UP
DPYSL5 UP
ALK UP
LCLAT1 UP
BIRC6 UP
LINC01317 UP
EIF2AK2 UP
ARHGEF33 UP
DHX57 UP
SLC8A1-AS1 UP
MSH2 UP
CHAC2 UP
KIAA1841 UP
XPO1 UP
ETAA1 UP
ATP6V1B1-AS1 UP
ADD2 UP
SNRPG UP
LOC101927884 UP
LOC101927967 UP
KRCC1 UP
LOC442028 UP
ANKRD36 UP
VWA3B UP
TMEM182 UP
CCDC138 UP
BUB1 UP
ACOXL UP
TMEM37 UP
C2orf76 UP
CNTNAP5 UP
LOC105373609 UP
GPR39 UP
MIR7853 UP
LOC101929680 UP
SCN1A UP
LOC105616981 UP
FASTKD1 UP
MYO3B UP
METTL8 UP
EVX2 UP
TTN UP
ANKRD44 UP
CASP8 UP
NBEAL1 UP
VWC2L UP
LINC00607 UP
SPATA3 UP
HJURP UP
ASB18 UP
KIF1A UP
LINC01304 UP
LINC01105 UP
LINC01247 UP
LINC00487 UP
NRIR UP
CMPK2 UP
RSAD2 UP
RNF144A-AS1 UP
LOC101929567 UP
ID2-AS1 UP
CYS1 UP
RRM2 UP
C2orf48 UP
SNORA80B UP
LOC101929733 UP
LOC101926966 UP
MYCNUT UP
SMC6 UP
SDC1 UP
GDF7 UP
FAM228A UP
CENPA UP
PRR30 UP
TCF23 UP
SLC30A3 UP
C2orf16 UP
LOC100505736 UP
C2orf71 UP
CAPN14 UP
NLRC4 UP
SLC30A6 UP
MYADML UP
LINC01320 UP
GPATCH11 UP
SULT6B1 UP
GEMIN6 UP
LOC388942 UP
ABCG8 UP
CRIPT UP
LINC01118 UP
HCG2040054 UP
LHCGR UP
ERLEC1 UP
TSPYL6 UP
PRORSD1P UP
LOC339803 UP
LINC00309 UP
LOC339807 UP
LOC101927438 UP
ACTR2 UP
FBXO48 UP
APLF UP
EMX1 UP
FBXO41 UP
DCTN1-AS1 UP
CCDC142 UP
TLX2 UP
LBX2 UP
DOK1 UP
SEMA4F UP
MRPL19 UP
LOC101927948 UP
C2orf68 UP
SNORD94 UP
MRPL35 UP
TEX37 UP
ANKRD36BP2 UP
ZNF2 UP
LOC101927070 UP
LYG2 UP
TXNDC9 UP
LINC01104 UP
NMS UP
SNORD89 UP
SLC9A4 UP
LINC01114 UP
LINC01159 UP
UTAT33 UP
IL36A UP
IL37 UP
IL36RN UP
DDX11L2 UP
SCTR UP
TMEM177 UP
RNU4ATAC UP
TSN UP
PROC UP
SFT2D3 UP
UGGT1 UP
LOC101927924 UP
AMER3 UP
GPR148 UP
LOC401010 UP
C2orf27B UP
ZNF806 UP
MCM6 UP
LOC100507600 UP
ZEB2-AS1 UP
PABPC1P2 UP
NMI UP
ARL5A UP
LOC100144595 UP
ERMN UP
LOC101929570 UP
TTC21B-AS1 UP
XIRP2-AS1 UP
LOC101929753 UP
DCAF17 UP
DLX2-AS1 UP
CDCA7 UP
SCRN3 UP
CHRNA1 UP
MIR933 UP
LOC100130691 UP
TTC30A UP
TTC30B UP
LOC101927027 UP
NEUROD1 UP
DUSP19 UP
DIRC1 UP
OSGEPL1 UP
STAT1 UP
ANKRD44-IT1 UP
BOLL UP
SATB2-AS1 UP
SGOL2 UP
NIF3L1 UP
SNORD70 UP
CYP20A1 UP
GCSHP3 UP
CRYGA UP
IDH1 UP
IDH1-AS1 UP
RPE UP
LINC01614 UP
TMEM169 UP
MIR6809 UP
RUFY4 UP
CXCR2 UP
CXCR2P1 UP
SLC11A1 UP
CATIP-AS2 UP
VIL1 UP
PRKAG3 UP
LINC01494 UP
FEV UP
CDK5R2 UP
CCDC108 UP
CRYBA2 UP
LOC100996693 UP
TM4SF20 UP
SP140 UP
GPR55 UP
SPATA3-AS1 UP
HTR2B UP
LINC00471 UP
C2orf57 UP
ALPPL2 UP
CHRND UP
ALPI UP
CHRNG UP
KCNJ13 UP
NEU2 UP
SCARNA5 UP
SCARNA6 UP
UGT1A4 UP
MSL3P1 UP
LOC643387 UP
LINC01107 UP
PRR21 UP
OTOS UP
DPPA4 UP
SCHIP1 UP
PCOLCE2 UP
ATP2B2 UP
THUMPD3-AS1 UP
SCN10A UP
CCDC66 UP
ERC2 UP
DOCK3 UP
ARL6 UP
MIR548G UP
GAP43 UP
BFSP2 UP
PQLC2L UP
CCDC39 UP
LINC00578 UP
CNTN6 UP
FANCD2 UP
MTMR14 UP
LHFPL4 UP
SLC6A11 UP
NUP210 UP
METTL6 UP
MIR548AC UP
GADL1 UP
TRIM71 UP
ARPP21 UP
SCN5A UP
XYLB UP
CX3CR1 UP
KIF15 UP
CCR2 UP
ITIH1 UP
C3orf67 UP
CADPS UP
C3orf49 UP
FAM19A4 UP
LINC00870 UP
LINC00877 UP
CPOX UP
COL8A1 UP
TMEM45A UP
MYH15 UP
CD96 UP
KIAA2018 UP
ATP6V1A UP
IGSF11 UP
GPR156 UP
HCLS1 UP
POLQ UP
STXBP5L UP
PARP14 UP
DIRC2 UP
KBTBD12 UP
DNAJB8-AS1 UP
TMCC1 UP
COL6A5 UP
DNAJC13 UP
KY UP
NCK1-AS1 UP
DBR1 UP
ATR UP
HLTF UP
PFN2 UP
PLCH1 UP
LEKR1 UP
IFT80 UP
OTOL1 UP
LINC01324 UP
WDR49 UP
ECT2 UP
KCCAT211 UP
MCF2L2 UP
LAMP3 UP
C3orf70 UP
EHHADH UP
HRG UP
ST6GAL1 UP
OPA1 UP
SRGAP3-AS3 UP
LOC101927416 UP
CPNE9 UP
IL17RE UP
FANCD2OS UP
GHRL UP
LINC00606 UP
TSEN2 UP
HDAC11-AS1 UP
LINC01267 UP
RBSN UP
COL6A4P1 UP
OXNAD1 UP
SATB1-AS1 UP
SGOL1 UP
MIR4442 UP
ZNF860 UP
CCR4 UP
TMPPE UP
MIR26A1 UP
SLC22A13 UP
SLC22A14 UP
CCR8 UP
LOC101928323 UP
CCDC13-AS1 UP
CYP8B1 UP
KRBOX1-AS1 UP
ZNF852 UP
ZKSCAN7 UP
ZNF501 UP
TGM4 UP
LARS2-AS1 UP
LIMD1 UP
SLC6A20 UP
CCR1 UP
CCR5 UP
CDC25A UP
CAMP UP
NME6 UP
PFKFB4 UP
SNORA94 UP
TMEM89 UP
BSN-AS2 UP
TRAIP UP
FAM212A UP
CDHR4 UP
IQCF2 UP
LINC00696 UP
GLYCTK-AS1 UP
STAB1 UP
ARHGEF3-AS1 UP
SPATA12 UP
ASB14 UP
LINC00698 UP
PRICKLE2-AS3 UP
MAGI1-AS1 UP
UBA3 UP
FOXP1-AS1 UP
LOC101927296 UP
PDZRN3-AS1 UP
C3orf38 UP
NSUN3 UP
IMPG2 UP
ZPLD1 UP
LINC00488 UP
DPPA2 UP
ZBED2 UP
ABHD10 UP
GTPBP8 UP
CD200R1 UP
QTRTD1 UP
TIGIT UP
ZNF80 UP
ZBTB20-AS1 UP
LOC101929754 UP
ZBTB20-AS3 UP
ZBTB20-AS4 UP
IGSF11-AS1 UP
